Date,Open,High,Low,Close,Adj Close,Volume
2022-02-01,14277.429688,14358.690430,14070.769531,14346.000000,14346.000000,4671850000
2022-02-02,14494.469727,14504.820313,14264.650391,14417.549805,14417.549805,4673140000
2022-02-03,14045.830078,14207.889648,13851.740234,13878.820313,13878.820313,4326300000
2022-02-04,13958.480469,14222.759766,13850.389648,14098.009766,14098.009766,4121340000
2022-02-07,14118.790039,14236.309570,13974.099609,14015.669922,14015.669922,4268730000
2022-02-08,13984.429688,14226.480469,13934.780273,14194.450195,14194.450195,4293770000
2022-02-09,14368.160156,14490.719727,14330.870117,14490.370117,14490.370117,4729730000
2022-02-10,14228.679688,14509.559570,14118.200195,14185.639648,14185.639648,5212510000
2022-02-11,14213.620117,14246.700195,13733.160156,13791.150391,13791.150391,5237320000
2022-02-14,13768.969727,13921.709961,13664.759766,13790.919922,13790.919922,4347350000
2022-02-15,13997.179688,14142.490234,13976.290039,14139.759766,14139.759766,4416840000
2022-02-16,14038.919922,14163.730469,13931.990234,14124.089844,14124.089844,4238560000
2022-02-17,14004.190430,14020.820313,13704.700195,13716.719727,13716.719727,4278370000
2022-02-18,13735.400391,13762.400391,13465.559570,13548.070313,13548.070313,4501940000
2022-02-22,13424.360352,13618.719727,13249.650391,13381.519531,13381.519531,4849170000
2022-02-23,13511.750000,13533.780273,13032.169922,13037.490234,13037.490234,4639330000
2022-02-24,12587.879883,13486.110352,12587.879883,13473.589844,13473.589844,6180200000
2022-02-25,13485.259766,13696.860352,13358.290039,13694.620117,13694.620117,4628720000
2022-02-28,13570.830078,13810.639648,13549.900391,13751.400391,13751.400391,5928130000
